onset,duration,trial_type
0.0,30.0,rest
30.0,0.5,correct_rejection
30.75,0.5,hit
32.0,0.5,hit
33.25,0.5,miss
35.0,0.5,hit
36.75,0.5,hit
37.5,0.5,correct_rejection
39.0,0.5,hit
40.5,0.5,hit
41.5,0.5,hit
42.5,0.5,false_alarm
43.75,0.5,hit
45.5,0.5,hit
46.75,0.5,hit
48.0,0.5,hit
49.0,0.5,hit
50.5,0.5,false_alarm
52.0,0.5,hit
53.5,0.5,hit
54.5,0.5,hit
55.75,0.5,hit
56.75,0.5,miss
58.5,0.5,hit
60.0,0.5,miss
61.25,0.5,miss
62.75,0.5,correct_rejection
63.5,0.5,miss
64.25,0.5,hit
65.75,0.5,false_alarm
67.0,0.5,hit
68.25,0.5,hit
69.75,0.5,hit
71.0,0.5,hit
72.75,0.5,hit
74.25,0.5,hit
76.0,0.5,correct_rejection
76.75,0.5,hit
77.75,0.5,hit
78.5,0.5,false_alarm
79.5,0.5,hit
81.0,0.5,miss
82.0,0.5,miss
82.75,0.5,hit
84.0,0.5,miss
85.0,0.5,false_alarm
86.25,0.5,hit
88.0,0.5,hit
89.0,0.5,hit
90.75,0.5,correct_rejection
92.25,0.5,hit
93.0,0.5,miss
94.75,0.5,miss
96.5,0.5,hit
97.75,0.5,hit
98.75,0.5,hit
99.75,0.5,hit
100.5,0.5,miss
101.25,0.5,hit
103.0,0.5,miss
104.25,0.5,correct_rejection
105.0,0.5,hit
106.0,0.5,hit
107.75,0.5,hit
109.25,0.5,hit
110.5,0.5,false_alarm
112.0,0.5,miss
113.0,0.5,correct_rejection
113.75,0.5,miss
115.0,0.5,hit
116.75,0.5,hit
117.75,0.5,hit
118.5,0.5,hit
120.0,0.5,false_alarm
120.75,0.5,hit
121.5,0.5,hit
122.25,0.5,false_alarm
124.0,0.5,hit
125.0,0.5,false_alarm
125.75,0.5,hit
127.5,0.5,hit
128.75,0.5,hit
129.5,0.5,hit
131.0,0.5,hit
132.25,0.5,false_alarm
133.25,0.5,hit
134.75,0.5,hit
136.5,0.5,hit
137.75,0.5,hit
139.0,0.5,hit
139.75,0.5,hit
141.0,0.5,hit
142.5,0.5,hit
143.75,0.5,hit
145.5,0.5,hit
146.5,0.5,hit
148.0,0.5,hit
149.5,0.5,false_alarm
150.5,0.5,hit
152.0,0.5,hit
153.0,0.5,hit
154.5,0.5,false_alarm
156.0,0.5,hit
157.0,0.5,correct_rejection
158.25,0.5,correct_rejection
159.0,0.5,hit
160.75,0.5,hit
162.5,0.5,hit
164.0,0.5,hit
165.0,0.5,hit
165.75,0.5,hit
166.75,0.5,hit
167.5,0.5,false_alarm
169.0,0.5,miss
169.75,0.5,hit
171.5,0.5,hit
172.25,0.5,false_alarm
173.25,0.5,false_alarm
174.25,0.5,hit
175.25,0.5,hit
177.0,0.5,hit
178.75,0.5,correct_rejection
179.75,0.5,hit
181.25,0.5,hit
182.75,0.5,hit
184.5,0.5,hit
186.25,0.5,miss
187.0,0.5,hit
188.75,0.5,hit
190.0,0.5,hit
191.0,0.5,miss
192.0,0.5,false_alarm
193.75,0.5,hit
194.75,0.5,hit
196.5,0.5,hit
197.5,0.5,hit
198.5,0.5,hit
199.75,0.5,hit
201.5,0.5,hit
202.25,0.5,hit
203.25,0.5,false_alarm
204.5,0.5,hit
205.5,0.5,false_alarm
206.75,0.5,hit
208.5,0.5,correct_rejection
209.25,0.5,miss
